counter,conv0,it0,conv1,it1,relation,isEffective,density_x,rows,cols,nonzeros,posdef,psym,nsym,density_y,avg_nnz,max_nnz,std_nnz,avg_row_block_count,std_row_block_count,min_row_block_count,max_row_block_count,avg_row_block_size,std_row_block_size,min_row_block_size,max_row_block_size,block_count
8527,1,34,1,62,0.548387096774194,0,0.0085633504499276,156,156,363,False,0.0,0.0,0.014916173570019724,2.326923076923077,6,1.1045561908287984,2.3205128205128207,1.1035326693848881,1,6,1.0027624309392265,0.05248618784530387,1,2,362
8940,0,450,1,95,4.73684210526316,1,0.0045154395522252,414,414,1182,False,0.005208333333333333,0.0,0.006896310298956802,2.8550724637681157,7,1.3070824795228388,2.8357487922705316,1.293640070710107,1,7,1.0068143100511073,0.0822670968834728,1,2,1174
9123,0,300,1,94,3.19148936170213,1,0.00948908072161,252,252,849,False,0.010050251256281407,0.0,0.013369236583522298,3.369047619047619,10,1.5944827636091625,3.3293650793650795,1.5605029439721119,1,9,1.0119189511323003,0.10852137916653194,1,2,839
1495,0,350,1,150,2.33333333333333,1,0.0078055489604524,339,339,1232,False,0.0022396416573348264,0.0,0.010720407932405739,3.634218289085546,8,1.6117590272089073,3.575221238938053,1.5541664037806096,1,8,1.0165016501650166,0.12739444927801177,1,2,1212
7668,0,750,1,195,3.84615384615385,1,0.0028389180816339,707,707,2120,False,0.0014154281670205238,0.0,0.00424128086682178,2.9985855728429986,8,1.4492833841395265,2.9872701555869874,1.4394352142657525,1,8,1.003787878787879,0.06142907098570778,1,2,2112
5419,1,62,1,67,0.925373134328358,0,0.0027022481520047,516,516,1233,False,0.002789400278940028,0.0,0.004630881557598702,2.38953488372093,7,1.1735980324652824,2.377906976744186,1.162485425043986,1,7,1.0048899755501222,0.06975717661460687,1,2,1227
2001,0,500,1,498,1.00401606425703,1,0.0055802281963418,477,477,1744,False,0.009471191791633781,0.0,0.007664956994493009,3.6561844863731654,10,1.7031320609740803,3.631027253668763,1.6767373709073463,1,10,1.0069284064665127,0.08294819859615692,1,2,1732
837,0,200,1,85,2.35294117647059,1,0.0147777310954527,157,157,516,False,0.016713091922005572,0.0,0.020933912126252587,3.286624203821656,8,1.506042840400359,3.21656050955414,1.4858932046972102,1,7,1.0217821782178218,0.1459716237147098,1,2,505
6678,1,20,1,58,0.344827586206897,0,0.0010480854793584,818,818,1516,False,0.0,0.0,0.002265648818455174,1.8533007334963325,5,0.8848052346151644,1.852078239608802,0.8852923950229153,1,5,1.0006600660066007,0.025683269251938902,1,2,1515
8733,0,250,1,95,2.63157894736842,1,0.0091318527753229,248,248,806,False,0.0035842293906810036,0.0,0.01310483870967742,3.25,8,1.4431428516687392,3.213709677419355,1.4022927468866349,1,8,1.0112923462986199,0.10566375544003664,1,2,797
290,1,7,1,53,0.132075471698113,0,0.0003532456662989,941,941,1254,False,0.0,0.0,0.001416179455008069,1.332624867162593,5,0.5729358520102512,1.3315621679064824,0.5726243291466825,1,5,1.0007980845969673,0.028239115742943546,1,2,1253
1097,0,600,1,598,1.00334448160535,1,0.0039979822849347,579,579,1915,False,0.0029940119760479044,0.0,0.005712308458690912,3.307426597582038,8,1.5163348147816236,3.295336787564767,1.5124682781620016,1,8,1.0036687631027255,0.06045910419466574,1,2,1908
845,1,2,1,51,0.0392156862745098,0,0.000334910089875,147,147,154,False,0.0,0.0,0.007126660187884677,1.0476190476190477,2,0.21295885499998,1.0476190476190477,0.21295885499997996,1,2,1.0,0.0,1,1,154
9567,1,35,1,64,0.546875,0,0.0016353647846927,680,680,1435,False,0.0,0.0,0.003103373702422145,2.110294117647059,6,1.0604715524212847,2.1,1.0496498015444737,1,6,1.0049019607843137,0.0698421904351716,1,2,1428
2345,1,450,1,83,5.42168674698795,1,0.0032441013944066,472,472,1192,False,0.002777777777777778,0.0,0.005350474001723643,2.5254237288135593,6,1.1439736307763042,2.5190677966101696,1.1403875993536374,1,6,1.0025231286795626,0.050167344968904085,1,2,1189
1951,0,150,1,78,1.92307692307692,1,0.0264761877785869,111,111,434,False,0.01238390092879257,0.0,0.03522441360279198,3.90990990990991,9,1.668735020445233,3.774774774774775,1.5750571829155215,1,8,1.035799522673031,0.18578998048714615,1,2,419
